,Unnamed: 0,trial_num,image,is_repeat,type,Image Index,Block,Correct,Onset,Offset,Response,RT
0,0,1,T4_13,True,target,Filler-5531,13,0.0,0.3005390167236328,2.3162529468536377,0.0,0.4833219051361084
1,1,2,F_S11,False,filler,Filler-5328,13,0.0,2.8170230388641357,4.833248138427734,0.0,0.8337199687957764
2,2,3,T3_6,False,target,Filler-903,13,0.0,5.33365797996521,7.349973917007446,1.0,0.6496541500091553
3,3,4,F_S12,False,filler,Filler-5334,13,0.0,7.850516080856323,9.86704397201538,0.0,0.34903502464294434
4,4,5,T1_15,False,target,Filler-426,13,0.0,10.383296966552734,12.38358211517334,0.0,0.13346409797668457
5,5,6,T4_3,False,target,Filler-1943,13,0.0,12.900125980377197,14.90014100074768,0.0,0.4667360782623291
6,6,7,T1_3,False,target,Target-1306,13,0.0,15.416588068008423,17.432544946670532,0.0,0.34997105598449707
7,7,8,T2_8,False,target,Filler-624,13,0.0,17.932687044143677,19.932960033416748,0.0,0.35089588165283203
8,8,9,T1_12,False,target,Filler-7648,13,0.0,20.4495210647583,22.465960025787354,0.0,0.7501718997955322
9,9,10,T2_7,False,target,Filler-6110,13,0.0,22.982990980148315,24.9996600151062,0.0,0.7338061332702637
10,10,11,T1_13,False,target,Target-1988,13,0.0,25.515603065490723,27.51623797416687,0.0,0.9001340866088867
11,11,12,T2_4,False,target,Target-675,13,0.0,28.016569137573242,30.032451152801514,0.0,0.7827057838439941
12,12,13,F_R4,False,filler,Target-1720,13,0.0,30.533066987991333,32.5487539768219,0.0,1.566498041152954
13,13,14,F_R4,True,filler,Target-1720,13,1.0,33.04963302612305,35.06644797325134,1.0,1.1506290435791016
14,14,15,T3_10,False,target,Filler-6863,13,0.0,35.58215594291687,37.58216714859009,1.0,1.0173470973968506
15,15,16,T3_13,False,target,Target-270,13,0.0,38.09894394874573,40.11566495895386,0.0,0.7333660125732422
16,16,17,F_R2,False,filler,Target-1688,13,0.0,40.6319100856781,42.63233208656311,0.0,0.45001888275146484
17,17,18,F_R2,True,filler,Target-1688,13,1.0,43.132673025131226,45.14849805831909,0.0,0.48240089416503906
18,18,19,T4_11,False,target,Filler-511,13,0.0,45.64918303489685,47.665332078933716,0.0,0.6162400245666504
19,19,20,T4_7,False,target,Filler-1929,13,0.0,48.16565704345703,50.18172597885132,0.0,0.7829489707946777
